unique circuitNames,year,constructorId,bestLapTime,GPName,circuitName
,2008,1,01:15.1,British Grand Prix,Circuit de Nevers Magny-Cours
,2008,1,01:14.6,German Grand Prix,Hockenheimring
,2008,1,01:19.4,Hungarian Grand Prix,Hungaroring
,2008,6,01:35.5,European Grand Prix,Autodromo Nazionale di Monza
,2008,1,01:17.5,Belgian Grand Prix,Fuji Speedway
,2008,5,01:34.4,Italian Grand Prix,Sepang International Circuit
,2008,6,01:15.1,Singapore Grand Prix,Circuit de Monaco
,2008,1,01:44.0,Japanese Grand Prix,Marina Bay Street Circuit
,2008,1,01:20.7,Chinese Grand Prix,Circuit de Barcelona-Catalunya
,2008,6,01:26.0,Brazilian Grand Prix,Istanbul Park
,2009,23,01:39.7,Australian Grand Prix,Yas Marina Circuit
,2009,23,01:24.9,Malaysian Grand Prix,Albert Park Grand Prix Circuit
,2009,9,01:32.7,Chinese Grand Prix,Bahrain International Circuit
,2009,7,01:44.7,Bahrain Grand Prix,Circuit de Spa-Francorchamps
,2009,23,01:19.6,Spanish Grand Prix,Autódromo José Carlos Pace
,2009,23,01:18.1,Monaco Grand Prix,Silverstone Circuit
,2009,9,01:35.1,Turkish Grand Prix,Shanghai International Circuit
,2009,9,01:38.2,British Grand Prix,Valencia Street Circuit
,2009,9,01:31.3,German Grand Prix,Nürburgring
,2009,4,01:20.8,Hungarian Grand Prix,Hungaroring
,2009,1,01:23.0,European Grand Prix,Autodromo Nazionale di Monza
,2009,10,01:30.3,Belgian Grand Prix,Suzuka Circuit
,2009,1,01:33.8,Italian Grand Prix,Sepang International Circuit
,2009,1,01:14.9,Singapore Grand Prix,Circuit de Monaco
,2009,9,01:46.7,Japanese Grand Prix,Marina Bay Street Circuit
,2009,23,01:20.2,Brazilian Grand Prix,Circuit de Barcelona-Catalunya
,2009,1,01:27.0,Abu Dhabi Grand Prix,Istanbul Park
,2010,9,01:39.4,Bahrain Grand Prix,Yas Marina Circuit
,2010,9,01:23.9,Australian Grand Prix,Albert Park Grand Prix Circuit
,2010,9,01:53.9,Malaysian Grand Prix,Bahrain International Circuit
,2010,9,01:45.8,Chinese Grand Prix,Circuit de Spa-Francorchamps
,2010,9,01:14.5,Spanish Grand Prix,Autódromo José Carlos Pace
,2010,9,01:29.6,Monaco Grand Prix,Silverstone Circuit
,2010,9,01:15.1,Turkish Grand Prix,Circuit Gilles Villeneuve
,2010,1,01:34.6,Canadian Grand Prix,Shanghai International Circuit
,2010,9,01:37.6,European Grand Prix,Valencia Street Circuit
,2010,9,01:13.8,British Grand Prix,Hockenheimring
,2010,9,01:18.8,German Grand Prix,Hungaroring
,2010,9,01:22.0,Hungarian Grand Prix,Autodromo Nazionale di Monza
,2010,9,01:30.8,Belgian Grand Prix,Suzuka Circuit
,2010,6,01:35.6,Italian Grand Prix,Korean International Circuit
,2010,6,01:48.2,Singapore Grand Prix,Sepang International Circuit
,2010,9,01:13.8,Japanese Grand Prix,Circuit de Monaco
,2010,9,01:45.4,Korean Grand Prix,Marina Bay Street Circuit
,2010,3,01:20.0,Brazilian Grand Prix,Circuit de Barcelona-Catalunya
,2010,9,01:26.3,Abu Dhabi Grand Prix,Istanbul Park
,2011,9,01:38.5,Australian Grand Prix,Yas Marina Circuit
,2011,9,01:23.5,Malaysian Grand Prix,Albert Park Grand Prix Circuit
,2011,9,01:48.3,Chinese Grand Prix,Circuit de Spa-Francorchamps
,2011,9,01:11.9,Turkish Grand Prix,Autódromo José Carlos Pace
,2011,9,01:30.4,Spanish Grand Prix,Silverstone Circuit
,2011,9,01:13.0,Monaco Grand Prix,Circuit Gilles Villeneuve
,2011,9,01:33.7,Canadian Grand Prix,Shanghai International Circuit
,2011,9,01:37.0,European Grand Prix,Valencia Street Circuit
,2011,9,01:30.1,British Grand Prix,Nürburgring
,2011,9,01:19.8,German Grand Prix,Hungaroring
,2011,9,01:24.2,Hungarian Grand Prix,Buddh International Circuit
,2011,9,01:22.3,Belgian Grand Prix,Autodromo Nazionale di Monza
,2011,9,01:30.5,Italian Grand Prix,Suzuka Circuit
,2011,9,01:35.8,Singapore Grand Prix,Korean International Circuit
,2011,9,01:34.9,Japanese Grand Prix,Sepang International Circuit
,2011,1,01:13.6,Korean Grand Prix,Circuit de Monaco
,2011,9,01:44.4,Indian Grand Prix,Marina Bay Street Circuit
,2011,9,01:21.0,Abu Dhabi Grand Prix,Circuit de Barcelona-Catalunya
,2011,9,01:25.0,Brazilian Grand Prix,Istanbul Park
,2012,1,01:40.6,Australian Grand Prix,Yas Marina Circuit
,2012,1,01:24.9,Malaysian Grand Prix,Albert Park Grand Prix Circuit
,2012,131,01:32.4,Chinese Grand Prix,Bahrain International Circuit
,2012,9,01:47.6,Bahrain Grand Prix,Circuit de Spa-Francorchamps
,2012,1,01:12.5,Spanish Grand Prix,Autódromo José Carlos Pace
,2012,131,01:46.5,Monaco Grand Prix,Silverstone Circuit
,2012,9,01:13.8,Canadian Grand Prix,Circuit Gilles Villeneuve
,2012,9,01:35.1,European Grand Prix,Shanghai International Circuit
,2012,6,01:38.1,British Grand Prix,Valencia Street Circuit
,2012,6,01:16.1,German Grand Prix,Hockenheimring
,2012,1,01:21.0,Hungarian Grand Prix,Hungaroring
,2012,1,01:25.3,Belgian Grand Prix,Buddh International Circuit
,2012,1,01:24.0,Italian Grand Prix,Autodromo Nazionale di Monza
,2012,1,01:30.8,Singapore Grand Prix,Suzuka Circuit
,2012,9,01:37.2,Japanese Grand Prix,Korean International Circuit
,2012,9,01:36.2,Korean Grand Prix,Sepang International Circuit
,2012,9,01:14.3,Indian Grand Prix,Circuit de Monaco
,2012,1,01:46.4,Abu Dhabi Grand Prix,Marina Bay Street Circuit
,2012,9,01:21.7,United States Grand Prix,Circuit de Barcelona-Catalunya
,2012,1,01:35.7,Brazilian Grand Prix,Circuit of the Americas
,2013,9,01:40.0,Australian Grand Prix,Yas Marina Circuit
,2013,9,01:27.4,Malaysian Grand Prix,Albert Park Grand Prix Circuit
,2013,131,01:32.3,Chinese Grand Prix,Bahrain International Circuit
,2013,131,01:49.1,Bahrain Grand Prix,Circuit de Spa-Francorchamps
,2013,131,01:25.4,Spanish Grand Prix,Autódromo José Carlos Pace
,2013,131,01:29.6,Monaco Grand Prix,Silverstone Circuit
,2013,9,01:22.3,Canadian Grand Prix,Circuit Gilles Villeneuve
,2013,131,01:34.5,British Grand Prix,Shanghai International Circuit
,2013,131,01:29.4,German Grand Prix,Nürburgring
,2013,131,01:19.4,Hungarian Grand Prix,Hungaroring
,2013,131,01:24.1,Belgian Grand Prix,Buddh International Circuit
,2013,9,01:23.8,Italian Grand Prix,Autodromo Nazionale di Monza
,2013,9,01:30.9,Singapore Grand Prix,Suzuka Circuit
,2013,9,01:37.2,Korean Grand Prix,Korean International Circuit
,2013,9,01:37.2,Japanese Grand Prix,Sepang International Circuit
,2013,9,01:13.9,Indian Grand Prix,Circuit de Monaco
,2013,9,01:42.8,Abu Dhabi Grand Prix,Marina Bay Street Circuit
,2013,9,01:20.7,United States Grand Prix,Circuit de Barcelona-Catalunya
,2013,9,01:36.3,Brazilian Grand Prix,Circuit of the Americas
,2014,131,01:40.5,Australian Grand Prix,Yas Marina Circuit
,2014,131,01:31.7,Malaysian Grand Prix,Albert Park Grand Prix Circuit
,2014,131,01:08.8,Bahrain Grand Prix,Red Bull Ring
,2014,131,01:33.2,Chinese Grand Prix,Bahrain International Circuit
,2014,131,02:05.6,Spanish Grand Prix,Circuit de Spa-Francorchamps
,2014,131,01:10.0,Monaco Grand Prix,Autódromo José Carlos Pace
,2014,131,01:35.2,Canadian Grand Prix,Silverstone Circuit
,2014,3,01:14.9,Austrian Grand Prix,Circuit Gilles Villeneuve
,2014,131,01:53.9,British Grand Prix,Shanghai International Circuit
,2014,131,01:16.5,German Grand Prix,Hockenheimring
,2014,131,01:22.7,Hungarian Grand Prix,Hungaroring
,2014,131,01:24.1,Belgian Grand Prix,Autodromo Nazionale di Monza
,2014,131,01:32.5,Italian Grand Prix,Suzuka Circuit
,2014,131,01:57.2,Singapore Grand Prix,Sepang International Circuit
,2014,131,01:16.0,Japanese Grand Prix,Circuit de Monaco
,2014,131,01:38.3,Russian Grand Prix,Sochi Autodrom
,2014,131,01:45.7,United States Grand Prix,Marina Bay Street Circuit
,2014,131,01:25.2,Brazilian Grand Prix,Circuit de Barcelona-Catalunya
,2014,131,01:36.1,Abu Dhabi Grand Prix,Circuit of the Americas
,2015,131,01:40.2,Australian Grand Prix,Yas Marina Circuit
,2015,131,01:26.3,Malaysian Grand Prix,Albert Park Grand Prix Circuit
,2015,131,01:08.5,Chinese Grand Prix,Red Bull Ring
,2015,131,01:32.6,Bahrain Grand Prix,Bahrain International Circuit
,2015,131,01:47.2,Spanish Grand Prix,Circuit de Spa-Francorchamps
,2015,131,01:11.3,Monaco Grand Prix,Autódromo José Carlos Pace
,2015,131,01:32.2,Canadian Grand Prix,Silverstone Circuit
,2015,131,01:14.4,Austrian Grand Prix,Circuit Gilles Villeneuve
,2015,131,01:35.8,British Grand Prix,Shanghai International Circuit
,2015,131,01:22.0,Hungarian Grand Prix,Hungaroring
,2015,131,01:23.4,Belgian Grand Prix,Autodromo Nazionale di Monza
,2015,131,01:32.6,Italian Grand Prix,Suzuka Circuit
,2015,6,01:39.3,Singapore Grand Prix,Sepang International Circuit
,2015,131,01:19.5,Japanese Grand Prix,Autódromo Hermanos Rodríguez
,2015,131,01:15.1,Russian Grand Prix,Circuit de Monaco
,2015,131,01:37.1,United States Grand Prix,Sochi Autodrom
,2015,131,01:43.9,Mexican Grand Prix,Marina Bay Street Circuit
,2015,131,01:24.7,Brazilian Grand Prix,Circuit de Barcelona-Catalunya
,2015,131,01:56.7,Abu Dhabi Grand Prix,Circuit of the Americas
,2016,131,01:38.8,Australian Grand Prix,Yas Marina Circuit
,2016,131,01:23.8,Bahrain Grand Prix,Albert Park Grand Prix Circuit
,2016,131,01:06.2,Chinese Grand Prix,Red Bull Ring
,2016,131,01:29.5,Russian Grand Prix,Bahrain International Circuit
,2016,131,01:46.7,Spanish Grand Prix,Circuit de Spa-Francorchamps
,2016,9,01:10.7,Monaco Grand Prix,Autódromo José Carlos Pace
,2016,131,01:29.2,Canadian Grand Prix,Silverstone Circuit
,2016,131,01:12.8,European Grand Prix,Circuit Gilles Villeneuve
,2016,131,01:35.4,Austrian Grand Prix,Shanghai International Circuit
,2016,131,01:42.5,British Grand Prix,Baku City Circuit
,2016,131,01:14.4,Hungarian Grand Prix,Hockenheimring
,2016,131,01:20.0,German Grand Prix,Hungaroring
